Abundance,Species_richness,Diversity_Index,ID,Treatment_Year,Modified_Year,Treatment,Plot
12.0,10,2.25,S34.3,-4,0,0,34
14.0,14,2.64,S34.4,-4,0,0,34
12.0,12,2.48,S19.1,-2,0,0,19
11.0,10,2.27,S19.2,-2,0,0,19
13.0,12,2.46,S19.3,-2,0,0,19
12.0,11,2.37,S19.4,-2,0,0,19
10.0,9,2.16,S19.5,-2,0,0,19
9.0,7,1.89,S13.1,2,2,1,13
14.0,13,2.54,S13.2,2,2,1,13
11.0,9,2.15,S34.1,-4,0,0,34
12.0,11,2.37,S34.2,-4,0,0,34
8.0,7,1.91,S34.3,-4,0,0,34
4.0,4,1.39,S34.4,-4,0,0,34
15.0,13,2.52,S19.1,-2,0,0,19
16.0,12,2.39,S19.2,-2,0,0,19
16.0,15,2.69,S19.3,-2,0,0,19
15.0,14,2.62,S19.4,-2,0,0,19
12.0,11,2.37,S19.5,-2,0,0,19
13.0,10,2.25,S13.1,1,1,1,13
12.0,9,2.14,S13.2,1,1,1,13
12.0,9,2.09,S34.1,-5,0,0,34
10.0,8,2.03,S34.2,-5,0,0,34
14.0,8,1.97,S34.3,-5,0,0,34
10.0,7,1.89,S34.4,-5,0,0,34
16.0,12,2.43,S19.1,-3,0,0,19
11.0,9,2.15,S19.2,-3,0,0,19
16.0,11,2.34,S19.3,-3,0,0,19
16.0,12,2.43,S19.4,-3,0,0,19
12.0,8,1.94,S19.5,-3,0,0,19
15.0,11,2.3,S13.1,1,1,1,13
9.0,7,1.89,S13.2,1,1,1,13
15.0,13,2.52,S34.1,-5,0,0,34
16.0,12,2.39,S34.2,-5,0,0,34
16.0,12,2.43,S34.3,-5,0,0,34
13.0,9,2.1,S34.4,-5,0,0,34
13.0,10,2.25,S19.1,-3,0,0,19
8.0,7,1.91,S19.2,-3,0,0,19
7.0,4,1.28,S19.3,-3,0,0,19
13.0,11,2.35,S19.4,-3,0,0,19
11.0,9,2.15,S19.5,-3,0,0,19
6.0,6,1.79,S13.1,0,0,0,13
7.0,6,1.75,S13.2,0,0,0,13
9.0,7,1.89,S34.1,-6,0,0,34
4.0,4,1.39,S34.2,-6,0,0,34
6.0,6,1.79,S34.3,-6,0,0,34
6.0,5,1.56,S34.4,-6,0,0,34
4.0,3,1.04,S19.1,-4,0,0,19
7.0,7,1.95,S19.2,-4,0,0,19
4.0,4,1.39,S19.3,-4,0,0,19
8.0,6,1.73,S19.4,-4,0,0,19
5.0,4,1.33,S19.5,-4,0,0,19
12.0,10,2.25,S13.1,-1,0,0,13
10.0,10,2.3,S13.2,-1,0,0,13
11.0,8,2.02,S34.1,-7,0,0,34
7.0,7,1.95,S34.2,-7,0,0,34
11.0,7,1.77,S34.3,-7,0,0,34
12.0,11,2.37,S34.4,-7,0,0,34
15.0,11,2.34,S19.1,-5,0,0,19
7.0,7,1.95,S19.2,-5,0,0,19
11.0,7,1.85,S19.3,-5,0,0,19
7.0,6,1.75,S19.4,-5,0,0,19
10.0,10,2.3,S19.5,-5,0,0,19
6.0,6,1.79,S13.1,-1,0,0,13
9.0,9,2.2,S13.2,-1,0,0,13
9.0,7,1.83,S34.1,-7,0,0,34
5.0,5,1.61,S34.2,-7,0,0,34
5.0,5,1.61,S34.3,-7,0,0,34
7.0,7,1.95,S34.4,-7,0,0,34
7.0,6,1.75,S19.1,-5,0,0,19
6.0,4,1.33,S19.2,-5,0,0,19
7.0,7,1.95,S19.3,-5,0,0,19
7.0,7,1.95,S19.4,-5,0,0,19
10.0,10,2.3,S19.5,-5,0,0,19
